stimulus,n_trials,model_accuracy,human_accuracy,rt_correlation,model_rt_mean,model_rt_std,human_rt_mean,human_rt_std,model_rt_correct_mean,model_rt_error_mean,human_rt_correct_mean,human_rt_error_mean,model_skewness,human_skewness
1,1501,0.5736175882744837,0.608927381745503,0.017863716032957055,1.4711611520481782,0.7286365204221448,0.8930258500666627,0.4124886331260902,1.4832546126019956,1.452330789277839,0.8047286715495425,1.0305107242824167,2.361579284526779,3.4566344735084926
2,1558,0.8979460847240052,0.7631578947368421,0.03230657247382197,1.3948116818365168,0.6711920881098407,0.8552529689976905,0.38223945600529446,1.3935716694604603,1.3988072772704765,0.8119108733115833,0.994910832875147,2.2478995327332054,3.736771120557828
3,1555,0.8102893890675241,0.7196141479099678,0.004957390917487288,1.4752171521369817,0.7132075692647879,0.9240600672567012,0.42714609831284917,1.469370620495396,1.490222356051968,0.8907949954398605,1.0094353318508402,2.1387836300322367,3.1778483910970383
4,1512,0.9332010582010583,0.746031746031746,-0.07110736427364478,1.4667369602736224,0.6909480428043887,0.9225498095301228,0.4023382272803828,1.4794931330398522,1.4292657027728222,0.8966712656440924,0.9985680321953367,2.2412810180024483,2.9432357675884626
5,1485,0.6464646464646465,0.6457912457912458,-0.015049451833125142,1.5441614069788887,0.7760794633202436,0.982851682543207,0.4229540280969502,1.5663463857510993,1.5037138886470447,0.982656919611409,0.9832067731355917,2.2234605209074285,3.0082466413699125
6,1560,0.5230769230769231,0.7538461538461538,-0.03430001272136197,1.480615527798273,0.7267849989747185,1.0877864964396498,0.4988953103246069,1.462023354056794,1.5375540598815522,1.1163398562820173,1.0003418319223985,2.3613693819639225,2.317094205545712
7,1539,0.6328784925276153,0.6764132553606238,-0.008139880977377433,1.4687096558013095,0.7466733961292056,0.9766070545949692,0.43921916330375066,1.463134215848678,1.480364340521569,0.9595738949531107,1.0122125148101793,2.3664756708108743,2.396378779359157
8,1514,0.7945838837516512,0.7159841479524438,-0.0071097841425948015,1.4168295855324744,0.7174461243776398,0.8934337452713301,0.4156774097741841,1.406040238952764,1.444028775514814,0.8355392577321898,1.0393817092072088,2.420156699088263,3.7915032058867735
