stimulus,n_trials,model_accuracy,human_accuracy,rt_correlation,model_rt_mean,model_rt_std,human_rt_mean,human_rt_std,model_rt_correct_mean,model_rt_error_mean,human_rt_correct_mean,human_rt_error_mean,model_skewness,human_skewness
1,1501,0.6635576282478348,0.608927381745503,-0.015844447363214116,1.9322529927175736,1.0027740902417575,0.8930258500666627,0.4124886331260902,1.8901924118341205,1.9977442549449604,0.8047286715495425,1.0305107242824167,1.4572896878212345,3.4566344735084926
2,1558,0.8189987163029525,0.7631578947368421,-0.008924206157291477,1.8432330653447384,0.9725542504350426,0.8552529689976905,0.38223945600529446,1.8346947542892549,1.870745400967964,0.8119108733115833,0.994910832875147,1.638811900011856,3.736771120557828
3,1555,0.7517684887459807,0.7196141479099678,0.03832234232090898,1.916972657497035,1.0164421871473752,0.9240600672567012,0.42714609831284917,1.9235352693176693,1.900129623948205,0.8907949954398605,1.0094353318508402,1.5281299801445951,3.1778483910970383
4,1512,0.9404761904761905,0.746031746031746,-0.02412221262742994,1.912783046586199,1.0142889655328078,0.9225498095301228,0.4023382272803828,1.91985427302653,1.892011318917728,0.8966712656440924,0.9985680321953367,1.5389886057310702,2.9432357675884626
5,1485,0.769023569023569,0.6457912457912458,0.007930098082935875,1.9288395499766433,1.0204837373234672,0.982851682543207,0.4229540280969502,1.9160837427018111,1.9520958601982479,0.982656919611409,0.9832067731355917,1.5942247907983818,3.0082466413699125
6,1560,0.8102564102564103,0.7538461538461538,-0.01514880735782133,1.9542368290638554,1.0238639840523378,1.0877864964396498,0.4988953103246069,1.9771675154252042,1.8840116020822257,1.1163398562820173,1.0003418319223985,1.510009293922356,2.317094205545712
7,1539,0.6783625730994152,0.6764132553606238,-0.014146152669935273,1.9143448878284102,1.0102977554421169,0.9766070545949692,0.43921916330375066,1.921994236472013,1.898354984338469,0.9595738949531107,1.0122125148101793,1.51485292747955,2.396378779359157
8,1514,0.7998678996036989,0.7159841479524438,0.012402892317023934,1.9251809912003797,1.005889930002667,0.8934337452713301,0.4156774097741841,1.9580041581005492,1.8424360774334418,0.8355392577321898,1.0393817092072088,1.5709711884562956,3.7915032058867735
